team,elo
Mexico,1875
South Africa,1518
South Korea,1758
Czech Republic,1740
Canada,1788
Bosnia and Herzegovina,1595
Qatar,1421
Switzerland,1891
Brazil,1991
Morocco,1827
Haiti,1548
Scotland,1782
United States,1726
Paraguay,1833
Australia,1777
Turkey,1911
Germany,1932
Curacao,1434
Ivory Coast,1695
Ecuador,1938
Netherlands,1948
Japan,1906
Sweden,1712
Tunisia,1628
Belgium,1893
Egypt,1696
Iran,1772
New Zealand,1562
Spain,2155
Cape Verde,1578
Saudi Arabia,1569
Uruguay,1892
France,2063
Senegal,1867
Iraq,1618
Norway,1914
Argentina,2114
Algeria,1760
Austria,1830
Jordan,1680
Portugal,1986
DR Congo,1661
Uzbekistan,1714
Colombia,1982
England,2021
Croatia,1911
Ghana,1510
Panama,1730